Episode,Score,MaxTile,Steps,Time
250,1508,128,161,3.35
251,1360,64,156,3.42
252,1124,128,119,2.53
253,1540,128,158,3.41
254,996,64,119,2.53
255,1548,128,159,3.42
256,2536,256,214,4.67
257,1880,128,193,4.26
258,2128,128,204,4.41
259,620,64,86,1.93
260,2584,256,229,4.83
261,1684,128,173,3.64
262,1040,64,125,2.67
263,412,32,65,1.36
264,1228,64,139,3.03
265,1820,128,189,4.10
266,1788,128,182,3.82
267,948,64,115,2.37
268,2588,256,226,4.81
269,1572,128,160,3.44
270,2524,256,215,4.52
271,1356,64,157,3.41
272,1336,128,140,2.93
273,552,32,83,1.79
274,3000,256,254,5.42
275,772,64,101,2.18
276,2896,256,244,5.15
277,2828,256,246,5.22
278,2744,256,234,5.07
279,1016,64,123,2.60
280,3976,256,329,6.96
281,2432,256,204,4.51
282,3184,256,263,5.61
283,1172,64,135,2.74
284,904,64,117,2.48
285,1360,128,141,3.06
286,552,32,83,1.72
287,964,64,113,2.30
288,272,32,52,1.14
289,820,64,107,2.24
290,740,64,98,2.05
291,376,32,62,1.34
292,1188,128,129,2.74
293,404,32,67,1.35
294,748,64,98,2.08
295,600,64,83,1.89
296,424,32,67,1.44
297,844,64,107,2.29
298,3380,256,280,6.02
299,720,64,91,1.90
300,684,64,96,2.06
301,792,64,103,2.28
302,620,64,85,1.83
303,1128,128,124,2.69
304,1152,64,136,2.91
305,1088,64,129,2.72
306,1368,128,139,2.95
307,916,64,119,2.48
308,1132,128,127,2.79
309,732,64,96,2.06
310,1436,128,149,3.12
311,700,64,99,2.13
312,1100,64,134,2.86
313,1284,128,129,2.66
314,2060,128,192,4.09
315,1604,128,168,3.52
316,1516,128,153,3.22
317,580,64,79,1.66
318,1236,128,127,2.69
319,548,64,79,1.64
320,1568,128,160,3.33
321,1832,128,186,3.98
322,1660,128,172,3.59
323,272,32,51,1.09
324,456,32,69,1.51
325,764,64,103,2.13
326,1532,128,155,3.25
327,1188,128,123,2.48
328,2652,256,226,4.87
329,1076,64,132,2.86
330,744,64,101,2.09
331,1640,128,170,3.59
332,1868,128,190,3.93
333,1644,128,167,3.61
334,1088,64,135,2.84
335,888,64,109,2.37
336,1348,128,140,2.99
337,848,64,102,2.22
338,388,32,67,1.48
339,828,64,107,2.24
340,2084,128,204,4.36
341,740,64,98,2.08
342,1820,128,186,3.90
343,1224,128,135,2.86
344,308,32,57,1.20
345,1684,128,174,3.71
346,1028,64,125,2.64
347,504,32,77,1.59
348,452,32,74,1.57
349,648,64,91,1.97
350,788,64,104,2.19
351,748,64,100,2.12
352,1008,64,121,2.61
353,728,64,95,2.04
354,1444,128,156,3.23
355,1664,128,172,3.69
356,2516,256,214,4.53
357,1304,64,153,3.15
358,788,64,109,2.22
359,1888,128,183,3.88
360,1608,128,166,3.41
361,696,64,91,1.99
362,528,32,78,1.66
363,1248,128,134,2.87
364,1380,128,145,3.10
365,1256,64,143,3.04
366,2076,128,196,4.34
367,1128,64,133,2.77
368,1508,128,161,3.38
369,3516,256,298,6.45
370,1012,64,122,2.60
371,1364,128,142,2.92
372,1240,128,130,2.72
373,2244,128,216,4.54
374,2900,256,237,5.08
375,912,64,120,2.53
376,1832,128,189,3.98
377,516,64,75,1.53
378,1360,64,155,3.42
379,496,64,70,1.44
380,1272,128,134,2.93
381,1888,128,191,4.19
382,1360,128,150,3.18
383,2456,256,207,4.33
384,812,64,110,2.37
385,1372,64,151,3.22
386,1020,128,108,2.29
387,1092,128,122,2.73
388,748,64,100,2.11
389,1104,64,130,2.84
390,1728,128,177,3.86
391,2740,256,233,5.02
392,768,64,104,2.13
393,920,64,112,2.35
394,3484,256,291,6.18
395,352,32,62,1.29
396,1188,128,130,2.80
397,612,64,86,1.77
398,2420,256,207,4.36
399,1860,128,193,4.11
400,1184,128,129,2.71
401,1876,128,193,4.03
402,308,32,55,1.24
403,1648,128,172,3.73
404,1088,128,121,2.53
405,1776,128,180,3.90
406,1380,128,141,2.90
407,1432,128,146,3.17
408,1628,128,164,3.47
409,1216,128,120,2.59
410,1216,64,144,3.08
411,2972,256,243,5.21
412,1940,128,194,4.00
413,588,32,91,1.97
414,512,32,78,1.69
415,1680,128,168,3.61
416,2216,128,203,4.44
417,1908,128,197,4.20
418,2700,256,231,5.00
419,1216,128,135,2.97
420,592,64,82,1.74
421,680,64,88,1.87
422,1064,128,113,2.44
423,1700,128,180,3.76
424,436,32,72,1.58
425,512,64,75,1.63
426,4056,256,313,6.75
427,1576,128,162,3.39
428,1060,128,117,2.55
429,2384,256,205,4.31
430,600,32,87,1.88
431,1504,128,156,3.30
432,1044,64,124,2.42
433,1516,128,156,3.33
434,820,64,102,2.07
435,524,32,81,1.64
436,1580,128,163,3.48
437,2500,256,217,4.62
438,1420,128,145,3.11
439,828,64,105,2.10
440,1208,128,124,2.68
441,552,32,83,1.78
442,228,32,46,0.90
443,1344,128,141,2.87
444,3436,256,283,6.14
445,1796,128,184,4.04
446,1056,128,115,2.43
447,3776,256,282,6.17
448,1468,128,152,3.26
449,3136,256,257,5.27
450,748,64,100,2.15
