Episode,Score,MaxTile,Steps,Time
0,556,64,77,0.24
1,1016,64,123,3.52
2,728,64,96,4.23
3,1432,128,148,6.37
4,704,64,94,4.09
5,1408,128,147,6.53
6,908,64,108,4.86
7,396,32,66,2.96
8,1564,128,164,7.32
9,1448,128,151,6.87
10,1016,128,108,4.89
11,1200,128,123,5.66
12,1480,128,157,6.99
13,2492,256,215,9.77
14,1456,128,150,6.87
15,904,64,107,4.89
16,1456,128,150,6.79
17,160,16,39,1.81
18,1504,128,152,6.73
19,1404,128,148,6.67
20,660,64,88,4.00
21,3180,256,263,11.84
22,1488,128,145,6.64
23,860,64,112,5.07
24,832,64,99,4.51
25,2488,256,215,9.62
26,1444,128,151,6.93
27,1568,128,163,7.44
28,528,64,72,3.25
29,2272,128,217,9.84
30,1540,128,158,7.03
31,1352,128,144,6.33
32,1192,128,124,5.51
33,1724,128,164,7.45
34,928,64,114,5.12
35,2732,256,231,10.53
36,1372,128,140,6.37
37,552,64,76,3.44
38,2952,256,257,11.64
39,2116,128,209,9.52
40,3936,256,297,13.40
41,3160,256,263,11.82
42,696,64,91,4.07
43,1296,128,130,5.80
44,1428,128,145,6.54
45,1456,128,152,6.73
46,2848,256,236,10.89
47,1440,128,150,6.83
48,1408,128,146,6.53
49,2456,256,208,9.72
50,1536,128,157,7.28
51,764,64,97,4.60
52,1576,128,154,7.03
53,1392,128,148,6.81
54,728,64,96,4.36
55,1080,128,117,5.46
56,428,32,69,3.11
57,892,64,115,5.27
58,1452,128,153,6.94
59,1364,128,136,6.38
60,748,64,97,4.40
61,388,32,64,2.92
62,1548,128,158,7.21
63,2452,256,210,9.57
64,1488,128,153,7.06
65,524,64,75,3.37
66,1264,128,137,6.26
67,692,64,91,4.05
68,928,128,100,4.60
69,1416,128,147,6.77
70,2612,256,219,10.10
71,1524,128,161,7.52
72,1688,128,174,8.10
73,2316,128,212,9.78
74,892,64,108,5.03
75,1476,128,154,7.21
76,944,64,119,5.54
77,2052,128,190,8.95
78,652,64,86,3.92
79,1368,128,140,6.54
80,1104,128,122,5.75
81,964,64,115,5.42
82,3220,256,263,12.12
83,1736,128,174,8.23
84,1368,128,142,6.68
85,1148,64,135,6.25
86,3188,256,265,12.43
87,1660,128,168,7.78
88,1152,64,136,6.24
89,2884,256,237,10.96
90,792,64,97,4.46
91,2720,256,236,11.04
92,704,64,94,4.45
93,572,64,78,3.54
94,1444,128,149,6.93
95,2616,256,220,10.20
96,1408,128,149,6.97
97,1936,256,159,7.39
98,3652,256,271,12.43
99,488,32,73,3.42
100,2788,256,230,10.52
101,532,64,75,3.50
102,724,64,97,4.28
103,1220,128,128,5.85
104,984,64,117,5.55
105,1056,64,129,6.00
106,472,32,75,3.39
107,596,64,83,3.82
108,444,32,72,3.39
109,1060,128,114,5.38
110,784,64,105,4.94
111,1476,128,152,6.95
112,1860,128,180,8.36
113,1744,128,163,7.60
114,428,32,70,3.21
115,1760,128,181,8.44
116,716,64,93,4.40
117,2512,256,216,10.16
118,2260,256,188,8.72
119,456,32,69,3.26
120,1016,64,122,5.65
121,2432,256,205,9.72
122,280,32,53,2.44
123,1744,128,162,7.47
124,1180,128,128,5.94
125,1204,128,133,6.19
126,400,64,57,2.64
127,704,64,94,4.24
128,232,32,44,2.05
129,1044,64,119,5.66
130,780,64,103,4.72
131,1048,64,126,5.89
132,808,64,101,4.68
133,1352,128,140,6.43
134,1192,128,130,6.10
135,644,64,85,4.00
136,272,32,51,2.32
137,584,64,82,3.82
138,788,64,103,4.86
139,1804,128,187,8.89
140,596,64,83,3.88
141,304,32,55,2.53
142,504,32,81,3.81
143,440,32,72,3.42
144,1616,128,165,7.84
145,936,64,111,5.12
146,676,64,91,4.20
147,924,64,105,4.94
148,1912,128,187,8.78
149,1176,128,126,5.92
150,1352,128,140,6.57
151,1440,128,149,7.01
152,944,128,102,4.70
153,776,64,100,4.70
154,1040,128,115,5.40
155,328,32,60,2.71
156,720,64,97,4.57
157,1328,128,137,6.42
158,1420,128,145,6.80
159,636,64,88,4.10
160,1168,128,127,5.99
161,264,32,53,2.43
162,664,64,88,4.20
163,1092,128,118,5.54
164,748,64,98,4.53
165,1116,128,120,5.67
166,304,32,55,2.62
167,1236,128,130,6.00
168,620,64,85,4.03
169,1472,128,152,7.15
170,880,64,106,5.00
171,616,64,80,3.68
172,736,64,87,4.00
173,172,16,43,1.98
174,1272,128,132,6.13
175,872,64,104,5.02
176,692,64,91,4.40
177,504,32,76,3.55
178,1508,128,153,7.21
179,1408,128,149,6.94
180,1196,128,122,5.69
181,1240,128,132,6.11
182,540,64,75,3.57
183,3368,256,280,13.47
184,2272,256,186,8.83
185,432,32,71,3.43
186,1460,128,147,7.01
187,824,64,107,4.92
188,1664,128,169,7.99
189,612,64,83,3.93
190,1512,128,154,7.35
191,2652,256,223,10.59
192,1556,128,154,7.42
193,1424,128,153,7.30
194,680,64,93,4.52
195,1360,128,141,6.82
196,708,64,92,4.45
197,1136,64,136,6.55
198,560,64,76,3.64
199,460,64,67,3.21
200,408,32,69,3.30
201,1428,128,150,7.24
202,612,64,83,4.07
203,1200,128,129,6.17
204,1360,128,141,6.76
205,412,32,69,3.34
206,968,64,116,5.56
207,2764,256,233,11.34
208,2056,256,172,8.35
209,1344,128,141,6.92
210,1212,128,125,5.87
211,2884,256,246,11.57
212,1372,128,144,6.86
213,1452,128,149,7.36
214,1408,128,152,7.22
215,1924,128,190,8.94
216,1116,64,125,6.02
217,1332,128,134,6.43
218,324,32,58,2.69
219,1708,128,168,7.96
220,1052,64,127,5.92
